first_week_day,last_week_day,age_group,gender,weekly_tests_num,weekly_cases,weekly_deceased,weekly_first_dose,weekly_second_dose,weekly_third_dose,weekly_fourth_dose
22/03/2020,28/03/2020,80+,זכר,416,32,7,,,,
22/03/2020,28/03/2020,80+,נקבה,650,34,7,,,,
22/03/2020,28/03/2020,80+,לא ידוע,0,0,0,,,,
29/03/2020,04/04/2020,0-19,זכר,3940,416,0,,,,
29/03/2020,04/04/2020,0-19,לא ידוע,7,0,0,,,,
29/03/2020,04/04/2020,0-19,נקבה,3426,333,0,,,,
29/03/2020,04/04/2020,20-24,זכר,4292,319,0,,,,
29/03/2020,04/04/2020,20-24,לא ידוע,7,0,0,,,,
29/03/2020,04/04/2020,20-24,נקבה,4258,260,0,,,,
29/03/2020,04/04/2020,25-29,זכר,2878,215,0,,,,
29/03/2020,04/04/2020,25-29,נקבה,2949,170,0,,,,
29/03/2020,04/04/2020,25-29,לא ידוע,7,0,0,,,,
29/03/2020,04/04/2020,30-34,זכר,2748,167,0,,,,
29/03/2020,04/04/2020,30-34,נקבה,2589,110,0,,,,
29/03/2020,04/04/2020,30-34,לא ידוע,7,7,0,,,,
29/03/2020,04/04/2020,35-39,זכר,2265,151,0,,,,
29/03/2020,04/04/2020,35-39,לא ידוע,7,7,0,,,,
29/03/2020,04/04/2020,35-39,נקבה,2209,116,0,,,,
29/03/2020,04/04/2020,40-44,לא ידוע,7,0,0,,,,
29/03/2020,04/04/2020,40-44,נקבה,2168,138,0,,,,
29/03/2020,04/04/2020,40-44,זכר,1885,160,0,,,,
29/03/2020,04/04/2020,45-49,לא ידוע,7,7,0,,,,
29/03/2020,04/04/2020,45-49,נקבה,2043,121,7,,,,
29/03/2020,04/04/2020,45-49,זכר,1641,149,0,,,,
29/03/2020,04/04/2020,50-54,זכר,1405,134,0,,,,
29/03/2020,04/04/2020,50-54,נקבה,1825,107,7,,,,
29/03/2020,04/04/2020,50-54,לא ידוע,7,0,0,,,,
29/03/2020,04/04/2020,55-59,זכר,1330,153,0,,,,
29/03/2020,04/04/2020,55-59,לא ידוע,7,0,0,,,,
29/03/2020,04/04/2020,55-59,נקבה,1675,143,0,,,,
29/03/2020,04/04/2020,60-64,לא ידוע,7,0,0,,,,
29/03/2020,04/04/2020,60-64,זכר,1281,139,0,,,,
29/03/2020,04/04/2020,60-64,נקבה,1303,112,0,,,,
29/03/2020,04/04/2020,65-69,נקבה,822,77,7,,,,
29/03/2020,04/04/2020,65-69,זכר,1027,122,7,,,,
29/03/2020,04/04/2020,65-69,לא ידוע,7,0,0,,,,
29/03/2020,04/04/2020,70-74,לא ידוע,0,0,0,,,,
29/03/2020,04/04/2020,70-74,זכר,653,82,7,,,,
29/03/2020,04/04/2020,70-74,נקבה,600,61,7,,,,
29/03/2020,04/04/2020,75-79,זכר,366,51,7,,,,
29/03/2020,04/04/2020,75-79,נקבה,340,35,0,,,,
29/03/2020,04/04/2020,75-79,לא ידוע,0,0,0,,,,
29/03/2020,04/04/2020,80+,זכר,773,76,7,,,,
29/03/2020,04/04/2020,80+,נקבה,1047,96,7,,,,
29/03/2020,04/04/2020,80+,לא ידוע,7,0,0,,,,
05/04/2020,11/04/2020,0-19,זכר,3594,386,0,,,,
05/04/2020,11/04/2020,0-19,לא ידוע,7,7,0,,,,
05/04/2020,11/04/2020,0-19,נקבה,2682,273,0,,,,
05/04/2020,11/04/2020,20-24,זכר,2932,205,0,,,,
05/04/2020,11/04/2020,20-24,לא ידוע,7,7,0,,,,
05/04/2020,11/04/2020,20-24,נקבה,2738,176,0,,,,
05/04/2020,11/04/2020,25-29,זכר,2384,140,0,,,,
05/04/2020,11/04/2020,25-29,נקבה,2106,112,0,,,,
05/04/2020,11/04/2020,25-29,לא ידוע,7,0,0,,,,
05/04/2020,11/04/2020,30-34,זכר,2077,95,0,,,,
05/04/2020,11/04/2020,30-34,נקבה,1737,73,0,,,,
05/04/2020,11/04/2020,30-34,לא ידוע,7,0,0,,,,
05/04/2020,11/04/2020,35-39,זכר,1656,72,7,,,,
05/04/2020,11/04/2020,35-39,לא ידוע,7,0,0,,,,
05/04/2020,11/04/2020,35-39,נקבה,1508,73,0,,,,
05/04/2020,11/04/2020,40-44,לא ידוע,7,0,0,,,,
05/04/2020,11/04/2020,40-44,נקבה,1434,79,0,,,,
05/04/2020,11/04/2020,40-44,זכר,1418,84,0,,,,
05/04/2020,11/04/2020,45-49,לא ידוע,7,0,0,,,,
05/04/2020,11/04/2020,45-49,נקבה,1495,91,0,,,,
05/04/2020,11/04/2020,45-49,זכר,1376,88,0,,,,
05/04/2020,11/04/2020,50-54,זכר,1199,69,0,,,,
05/04/2020,11/04/2020,50-54,נקבה,1378,83,7,,,,
05/04/2020,11/04/2020,50-54,לא ידוע,7,0,0,,,,
05/04/2020,11/04/2020,55-59,זכר,1131,76,0,,,,
05/04/2020,11/04/2020,55-59,לא ידוע,7,0,0,,,,
05/04/2020,11/04/2020,55-59,נקבה,1246,73,0,,,,
05/04/2020,11/04/2020,60-64,לא ידוע,7,0,0,,,,
05/04/2020,11/04/2020,60-64,זכר,989,68,7,,,,
05/04/2020,11/04/2020,60-64,נקבה,986,51,7,,,,
05/04/2020,11/04/2020,65-69,נקבה,754,47,7,,,,
05/04/2020,11/04/2020,65-69,זכר,795,63,7,,,,
05/04/2020,11/04/2020,65-69,לא ידוע,7,0,0,,,,
05/04/2020,11/04/2020,70-74,לא ידוע,7,0,0,,,,
05/04/2020,11/04/2020,70-74,זכר,624,32,7,,,,
05/04/2020,11/04/2020,70-74,נקבה,590,36,7,,,,
05/04/2020,11/04/2020,75-79,זכר,394,19,7,,,,
05/04/2020,11/04/2020,75-79,נקבה,452,30,7,,,,
05/04/2020,11/04/2020,75-79,לא ידוע,0,0,0,,,,
05/04/2020,11/04/2020,80+,זכר,907,48,7,,,,
05/04/2020,11/04/2020,80+,נקבה,1704,92,25,,,,
05/04/2020,11/04/2020,80+,לא ידוע,0,0,0,,,,
12/04/2020,18/04/2020,0-19,זכר,4372,368,0,,,,
12/04/2020,18/04/2020,0-19,לא ידוע,17,7,0,,,,
12/04/2020,18/04/2020,0-19,נקבה,3674,395,0,,,,
12/04/2020,18/04/2020,20-24,זכר,3308,161,0,,,,
12/04/2020,18/04/2020,20-24,לא ידוע,7,0,0,,,,
12/04/2020,18/04/2020,20-24,נקבה,2964,155,0,,,,
12/04/2020,18/04/2020,25-29,זכר,2996,99,0,,,,
12/04/2020,18/04/2020,25-29,נקבה,2770,99,0,,,,
12/04/2020,18/04/2020,25-29,לא ידוע,7,0,0,,,,
12/04/2020,18/04/2020,30-34,זכר,2613,70,0,,,,
12/04/2020,18/04/2020,30-34,נקבה,2457,79,0,,,,
12/04/2020,18/04/2020,30-34,לא ידוע,7,0,0,,,,
12/04/2020,18/04/2020,35-39,זכר,2198,65,0,,,,
12/04/2020,18/04/2020,35-39,לא ידוע,7,0,0,,,,
12/04/2020,18/04/2020,35-39,נקבה,2223,65,0,,,,
12/04/2020,18/04/2020,40-44,לא ידוע,7,0,0,,,,
12/04/2020,18/04/2020,40-44,נקבה,2253,76,7,,,,
12/04/2020,18/04/2020,40-44,זכר,1996,58,0,,,,
12/04/2020,18/04/2020,45-49,לא ידוע,7,0,0,,,,
12/04/2020,18/04/2020,45-49,נקבה,2340,95,0,,,,
12/04/2020,18/04/2020,45-49,זכר,1901,74,0,,,,
12/04/2020,18/04/2020,50-54,זכר,1696,74,0,,,,
12/04/2020,18/04/2020,50-54,נקבה,2085,72,0,,,,
12/04/2020,18/04/2020,50-54,לא ידוע,7,0,0,,,,
12/04/2020,18/04/2020,55-59,זכר,1544,51,0,,,,
12/04/2020,18/04/2020,55-59,לא ידוע,0,0,0,,,,
